episode,steps,sim_seconds,total_reward,epsilon,average_loss,updates,buffer_size
233,450,7200,-1884.465362,0.048508,0.57322729,450,100000
234,450,7200,-1808.812415,0.047882,0.57943668,450,100000
235,450,7200,-2019.058284,0.047264,0.55934026,450,100000
236,450,7200,-2072.588133,0.046654,0.58086431,450,100000
237,450,7200,-1916.776712,0.046052,0.58777295,450,100000
238,450,7200,-1845.664076,0.045458,0.56892879,450,100000
239,450,7200,-1765.929855,0.044871,0.57713353,450,100000
240,450,7200,-1824.286546,0.044292,0.53253968,450,100000
241,450,7200,-1704.067529,0.043721,0.51899115,450,100000
242,450,7200,-1721.182922,0.043157,0.50346213,450,100000
243,450,7200,-1680.985846,0.042600,0.52095919,450,100000
244,450,7200,-2013.898688,0.042050,0.51517736,450,100000
245,450,7200,-1767.229278,0.041508,0.52137032,450,100000
246,450,7200,-1794.050268,0.040972,0.50153726,450,100000
247,450,7200,-1767.136654,0.040443,0.50139986,450,100000
248,450,7200,-1769.114571,0.039922,0.51263303,450,100000
249,450,7200,-1668.507279,0.039406,0.49018407,450,100000
250,450,7200,-1741.472274,0.038898,0.50656495,450,100000
251,450,7200,-1721.813197,0.038396,0.49513210,450,100000
252,450,7200,-1643.728242,0.037901,0.51001347,450,100000
253,450,7200,-1772.088562,0.037412,0.49078121,450,100000
254,450,7200,-1681.960808,0.036929,0.48997221,450,100000
255,450,7200,-1788.414058,0.036452,0.48211260,450,100000
256,450,7200,-1807.374723,0.035982,0.49994513,450,100000
257,450,7200,-1828.100839,0.035518,0.47764628,450,100000
258,450,7200,-1658.322570,0.035059,0.47130880,450,100000
259,450,7200,-1943.562114,0.034607,0.47707171,450,100000
260,450,7200,-1868.062860,0.034160,0.46340376,450,100000
261,450,7200,-1727.454371,0.033720,0.45316096,450,100000
262,450,7200,-1904.063861,0.033285,0.45187521,450,100000
263,450,7200,-1841.730365,0.032855,0.46039239,450,100000
264,450,7200,-1746.687751,0.032431,0.45593428,450,100000
265,450,7200,-1706.613675,0.032013,0.45289479,450,100000
266,450,7200,-1741.078363,0.031600,0.47654420,450,100000
267,450,7200,-1647.650049,0.031192,0.46523673,450,100000
268,450,7200,-1741.251725,0.030789,0.45855213,450,100000
269,450,7200,-1706.726607,0.030392,0.45577864,450,100000
270,450,7200,-1750.181521,0.030000,0.45768778,450,100000
271,450,7200,-1751.572550,0.030000,0.44274598,450,100000
272,450,7200,-1660.041467,0.030000,0.43346884,450,100000
273,450,7200,-1818.804702,0.030000,0.44838258,450,100000
274,450,7200,-1815.467836,0.030000,0.44146807,450,100000
275,450,7200,-1652.430233,0.030000,0.44461899,450,100000
276,450,7200,-1616.105267,0.030000,0.45822973,450,100000
277,450,7200,-1677.324192,0.030000,0.46451069,450,100000
278,450,7200,-1685.544998,0.030000,0.46862873,450,100000
279,450,7200,-1716.549792,0.030000,0.47983600,450,100000
280,450,7200,-1751.093013,0.030000,0.44650852,450,100000
281,450,7200,-1651.954266,0.030000,0.42995795,450,100000
282,450,7200,-1678.534157,0.030000,0.43949036,450,100000
283,450,7200,-1753.722490,0.030000,0.45590207,450,100000
284,450,7200,-1687.999716,0.030000,0.40696209,450,100000
285,450,7200,-1667.007484,0.030000,0.40334640,450,100000
286,450,7200,-1714.338493,0.030000,0.40326370,450,100000
287,450,7200,-1796.927748,0.030000,0.39981062,450,100000
288,450,7200,-1652.628228,0.030000,0.39569775,450,100000
289,450,7200,-1683.785768,0.030000,0.40519850,450,100000
290,450,7200,-1660.608970,0.030000,0.38626274,450,100000
291,450,7200,-1761.791765,0.030000,0.42534361,450,100000
292,450,7200,-1750.127064,0.030000,0.42018915,450,100000
293,450,7200,-1698.489333,0.030000,0.41469516,450,100000
294,450,7200,-1671.227809,0.030000,0.42563711,450,100000
295,450,7200,-1656.492262,0.030000,0.39953346,450,100000
296,450,7200,-1675.413741,0.030000,0.37573704,450,100000
297,450,7200,-1757.458037,0.030000,0.39448992,450,100000
298,450,7200,-1621.052605,0.030000,0.37340358,450,100000
299,450,7200,-1738.195377,0.030000,0.38560504,450,100000
300,450,7200,-1757.229729,0.030000,0.38003969,450,100000
